Hotel_Name,Hotel_Address,lat,lng,Reviewer_Score
Best Western Paris Gare Saint Lazare,18 rue de Constantinople 8th arr 75008 Paris France,48.8803752,2.319591,7.380769230769231
Best Western Plus 61 Paris Nation Hotel,61 rue de la Voute 12th arr 75012 Paris France,48.8465653,2.4102405,7.3094594594594575
Best Western Plus Elys e Secret,5 rue de Ponthieu 8th arr 75008 Paris France,48.870124700000005,2.311141,7.699099099099093
Best Western Plus Hotel Blue Square,Slotermeerlaan 80 Geuzenveld Slotermeer 1064 HD Amsterdam Netherlands,52.378682299999994,4.8207832999999995,7.351515151515164
Best Western Plus Hotel Felice Casati,Via Felice Casati 18 Central Station 20124 Milan Italy,45.4787357,9.204113099999999,8.356953642384104
Best Western Plus Hotel Galles,Piazza Lima 2 Central Station 20124 Milan Italy,45.4805847,9.2117326,8.412234910277341
Best Western Plus Seraphine Hammersmith Hotel,84 King Street Hammersmith and Fulham London W6 0QW United Kingdom,51.4926269,-0.2288598,7.742799461642005
Best Western Plus de Neuville Arc de Triomphe,3 Rue Verniquet 17th arr 75017 Paris France,48.8869128,2.3004034,8.185915492957749
Best Western Premier Faubourg 88,88 rue du Faubourg Poissoni re 10th arr 75010 Paris France,48.877675599999996,2.3493159,8.325698324022335
Best Western Premier Hotel Couture,Delflandlaan 15 Slotervaart 1062 EA Amsterdam Netherlands,52.351113700000006,4.8411629000000005,8.753399668325056
Best Western Premier Hotel Dante,Mallorca 181 Eixample 08036 Barcelona Spain,41.3894195,2.1564886000000003,8.477889447236173
Best Western Premier Kaiserhof Wien,Frankenberggasse 10 04 Wieden 1040 Vienna Austria,48.1975497,16.3686397,9.496407185628728
Best Western Premier Kapital Op ra,34 rue de Moscou 8th arr 75008 Paris France,48.8814425,2.3235592,8.866064981949453
Best Western Premier Le Swann,15 rue de Constantinople 8th arr 75008 Paris France,48.8797331,2.3206002999999997,7.990109890109892
Best Western Premier Louvre Saint Honor ,141 rue St Honor 1st arr 75001 Paris France,48.861711,2.3406740000000004,8.340487804878045
Best Western Premier Marais Grands Boulevards,112 boulevard de S bastopol 3rd arr 75003 Paris France,48.868742499999996,2.3541761,8.297844827586198
Best Western Premier Op ra Faubourg Ex Hotel Jules ,49 Rue La Fayette 9th arr 75009 Paris France,48.8753359,2.3414617,8.173065015479867
Best Western Premier Op ra Li ge,9 Rue De Li ge 9th arr 75009 Paris France,48.879594700000006,2.3280695,8.903100775193797
Best Western Premier Op ra Opal,19 Rue Tronchet 8th arr 75008 Paris France,48.8722588,2.3257608,8.821276595744678
Best Western Premier Trocadero La Tour,5 bis rue Massenet 16th arr 75016 Paris France,48.858312700000006,2.2795075000000002,8.06346153846154
Best Western S vres Montparnasse,153 Rue De Vaugirard 15th arr 75015 Paris France,48.843707,2.3155631000000003,7.969148936170209
Best Western Seraphine Kensington Olympia,225 High Street Kensington Kensington and Chelsea London W8 6SA United Kingdom,51.4992791,-0.1973593,7.41791443850267
Best Western The Boltons Hotel London Kensington,19 21 Penywern Road Kensington and Chelsea London SW5 9TT United Kingdom,51.4907493,-0.19346270000000002,7.728961748633889
Best Western Tour Eiffel Invalides,35 Boulevard de la tour Maubourg 7th arr 75007 Paris France,48.8593152,2.3104179,7.851351351351352
Bianca Maria Palace Hotel,Viale Bianca Maria 4 Milan City Center 20129 Milan Italy,45.4635445,9.206864900000001,8.997115384615393
Bilderberg Garden Hotel,Dijsselhofplantsoen 7 Oud Zuid 1077 BJ Amsterdam Netherlands,52.351144700000006,4.8740764,7.986596119929461
Bilderberg Hotel Jan Luyken,Jan Luykenstraat 58 Oud Zuid 1071 CS Amsterdam Netherlands,52.3599196,4.8810128,8.636612021857934
Blakemore Hyde Park,30 Leinster Gardens Bayswater Westminster Borough London W2 3AN United Kingdom,51.5129736,-0.1837431,8.526721763085389
Blakes Hotel,33 Roland Gardens Kensington and Chelsea London SW7 3PF United Kingdom,51.48924470000001,-0.18031960000000002,7.971052631578947
Bloomsbury Palace Hotel,29 31 Gower Street Camden London WC1E 6HG United Kingdom,51.5207945,-0.1310845,6.736684996072284
BoB Hotel by Elegancia,30 rue Pernety 14th arr 75014 Paris France,48.833523299999996,2.3191194,8.938775510204085
Boscolo Milano Autograph Collection,Corso Giacomo Matteotti 4 6 Milan City Center 20121 Milan Italy,45.46676,9.194293,7.6589743589743575
Boundary Rooms Suites,2 4 Boundary Street Hackney London E2 7DD United Kingdom,51.5244224,-0.0764614,8.441666666666666
Boutique H tel Konfidentiel,64 Rue de l Arbre Sec 1st arr 75001 Paris France,48.8612535,2.3426256000000003,8.7
Boutique Hotel Notting Hill,Westeinde 26 Amsterdam City Center 1017 ZP Amsterdam Netherlands,52.3583821,4.8988777,8.54505327245055
Boutiquehotel Das Tyrol,Mariahilfer Stra e 15 06 Mariahilf 1060 Vienna Austria,48.200895700000004,16.3592496,9.4978417266187
Bradford Elys es Astotel,10 rue Saint Philippe du Roule 8th arr 75008 Paris France,48.8729676,2.3081177999999998,9.121951219512196
Britannia International Hotel Canary Wharf,163 Marsh Wall Docklands Tower Hamlets London E14 9SJ United Kingdom,51.5019097,-0.0232208,6.826644393401479
Brunelleschi Hotel,Via Baracchini 12 Milan City Center 20123 Milan Italy,45.461177,9.191047,8.137132352941189
Buddha Bar Hotel Paris,4 rue d Anjou 8th arr 75008 Paris France,48.8694695,2.3208564,8.594871794871798
Bulgari Hotel London,171 Knightsbridge Westminster Borough London SW7 1DW United Kingdom,51.501572100000004,-0.1628511,9.529729729729727
